average_cyclomatic_complexity,average_methods_per_class,avg_line_length,boolean_expression_avg_terms,call_graph_density,classes,classes_with_inheritance,comment_code_mismatch_score,comment_lines,comment_percentage,decision_density,documentation_coverage,external_vs_internal_field_access_ratio,file_age_days,file_path,functions,global_usages_total,globals_declared,halstead_difficulty,halstead_effort,halstead_estimated_bugs,halstead_volume,inter_file_coupling,large_parameter_list_indicator,lazy_class_indicator,lines_added,lines_of_code,long_method_indicator,max_cyclomatic_ratio,max_intra_file_call_depth,max_line_length,max_lines_per_function,max_nesting_level,mean_cyclomatic_ratio,mean_lines_per_function,mean_param_entropy,methods,nesting_variance,num_authors,pep8_violations,percent_lines_over_80,semantic_todo_density,source_lines,test_files_found,test_function_count,test_lines,test_to_source_ratio,todo_fixme_count,todo_fixme_semantic_density,total_imports,unit_test_presence,y_FeatureEnvy,y_FormattingIssues,y_GlobalStateAbuse,y_GodClass,y_LargeParameterList,y_LazyClass,y_LongMethod,y_MisleadingComments,y_PoorDocumentation,y_SpaghettiCode,y_UnstableModule,y_UntestedCode,y_any_smell
0.3607559755419678,0.0,0.39446366782006925,0.0,0.3333333333333333,0.0,0.0,0.0,0.125,0.167,0.6233142857142857,0.0,0.033846153846153845,0.0,awesome-python\sort.py,0.025974025974025976,0.0,0.0,0.101875808538163,0.010525544821844842,0.026214518304114722,0.02621025729673784,0.10526315789473684,False,False,0.01137453748115664,0.011374537481156638,False,0.17266666666666666,0.125,0.11564625850340136,0.00510204081632653,0.30000000000000004,0.2546972860125261,0.11851965132283224,0.0,0.0,0.1228803145736053,0.0,0.0029717682020802376,0.035703570357035704,0.0,0.006111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,1
0.1662034463590884,0.0,0.3690888119953864,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.095,0.32662857142857143,0.0,0.00923076923076923,0.0,fastapi\pdm_build.py,0.012987012987012988,0.00625,0.038461538461538464,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.0027408524050979853,0.0027408524050979853,False,0.16666666666666666,0.0,0.08390022675736962,0.001749271137026239,0.1,0.2609603340292276,0.045878574705612477,0.6133268482490272,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,1.0,1.0,1.0,0.07176626863966178,0.0,0.0,0.03896103896103896,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.24221453287197234,0.0,0.0,0.04878048780487805,0.05,0.0,0.0,0.0,0.1632,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial001_py39.py,0.0,0.00625,0.038461538461538464,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.003014937645607784,0.003014937645607784,False,0.3333333333333333,0.0,0.09750566893424037,0.0005830903790087463,0.1,0.5219206680584552,0.01529285823520416,0.6133268482490272,0.0,0.0,0.0,0.0014858841010401188,0.13051305130513052,0.0,0.0019444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.2260668973471742,0.0,0.0,0.024390243902439025,0.025,0.0,0.0,0.0,0.104,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial002_py310.py,0.0,0.00625,0.038461538461538464,0.02199223803363519,0.00038675649953359524,0.0044951704327423824,0.004494460863873532,0.017543859649122806,False,False,0.003837193367137179,0.003837193367137179,False,0.26666666666666666,0.0,0.07256235827664399,0.0007288629737609329,0.1,0.41753653444676414,0.0191160727940052,0.6434824902723735,0.0,0.0,0.0,0.0,0.0,0.0,0.0030555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.22260668973471742,0.0,0.0,0.024390243902439025,0.025,0.0,0.0,0.0,0.09942857142857142,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial002_py39.py,0.0,0.00625,0.038461538461538464,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.004111278607646978,0.004111278607646978,False,0.26666666666666666,0.0,0.07369614512471656,0.0007288629737609329,0.1,0.41753653444676414,0.0191160727940052,0.6434824902723735,0.0,0.0,0.0,0.0,0.0,0.0,0.0031944444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.24336793540945792,0.0,0.0,0.04878048780487805,0.05,0.0,0.0,0.0,0.07885714285714286,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial003_py39.py,0.0,0.00625,0.038461538461538464,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.0050705769494312726,0.0050705769494312726,False,0.26666666666666666,0.0,0.09410430839002268,0.0007288629737609329,0.1,0.41753653444676414,0.0191160727940052,0.6133268482490272,0.0,0.0,0.0,0.0014858841010401188,0.07890789078907891,0.0,0.004027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.23760092272203,0.0,0.0,0.024390243902439025,0.025,0.0,0.0,0.0,0.104,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial004_py310.py,0.0,0.0125,0.07692307692307693,0.022315653298835704,0.0005674851420695325,0.006424804569724479,0.006429586109784278,0.017543859649122806,False,False,0.004111278607646978,0.004111278607646978,False,0.26666666666666666,0.0,0.07369614512471656,0.0007288629737609329,0.1,0.41753653444676414,0.0191160727940052,0.6434824902723735,0.0,0.0,0.0,0.0,0.0,0.0,0.0030555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.23414071510957327,0.0,0.0,0.024390243902439025,0.025,0.0,0.0,0.0,0.09942857142857142,0.0,0.003076923076923077,0.0,fastapi\docs_src\additional_responses\tutorial004_py39.py,0.0,0.0125,0.07692307692307693,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.004385363848156776,0.004385363848156776,False,0.26666666666666666,0.0,0.07369614512471656,0.0007288629737609329,0.1,0.41753653444676414,0.0191160727940052,0.6434824902723735,0.0,0.0,0.0,0.0,0.0,0.0,0.0031944444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.29296424452133796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.006153846153846154,0.0,fastapi\docs_src\additional_status_codes\tutorial001_an_py310.py,0.0,0.025,0.07692307692307693,0.03783958602846054,0.0012362603250963035,0.008310583385411527,0.00831171925736508,0.017543859649122806,False,False,0.0034260655063724815,0.0034260655063724815,False,0.09533333333333333,0.0,0.09863945578231292,0.0020408163265306124,0.1,0.14926931106471816,0.05352500382321456,0.7636186770428016,0.0,0.0,0.0,0.0014858841010401188,0.11551155115511552,0.0,0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506494,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.11061700944969428,0.0,0.3021914648212226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.006153846153846154,0.0,fastapi\docs_src\additional_status_codes\tutorial001_an_py39.py,0.0,0.025,0.07692307692307693,0.0,0.0,0.0,0.0,0.017543859649122806,False,False,0.0034260655063724815,0.0034260655063724815,False,0.09533333333333333,0.0,0.09863945578231292,0.0020408163265306124,0.1,0.14926931106471816,0.05352500382321456,0.7636186770428016,0.0,0.0,0.0,0.0014858841010401188,0.11551155115511552,0.0,0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.07792207792207792,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1
